地域名,センター,可燃,不燃,ビン缶,古紙,軟質プラスチック類
一心会（可燃火・金）,境港市,火 金,水1,水2 水4,水3,火
一心会（可燃月・木）,境港市,月 木,水1,水2 水4,水3,火
栄町（可燃火・金）,境港市,火 金,水1,水2 水4,水2,火
栄町（可燃月・木）,境港市,月 木,水1,水2 水4,水2,火
外江町10区,境港市,月 木,月4,木1 木3,水2,金
外江町11区,境港市,月 木,月2,火1 火3,水2,金
外江町12区,境港市,月 木,月4,木1 木3,水2,金
外江町３区（可燃火・金）,境港市,火 金,月4,木1 木3,水2,木
外江町３区（可燃月・木）,境港市,月 木,月4,木1 木3,水2,金
外江町４区,境港市,火 金,月4,木1 木3,水2,木
外江町５区,境港市,火 金,月4,木1 木3,水2,木
外江町６区,境港市,火 金,月4,木1 木3,水2,木
外江町７区,境港市,火 金,月4,木1 木3,水2,木
外江町８区,境港市,火 金,月4,木1 木3,水2,木
外江町９区,境港市,火 金,月4,木1 木3,水2,木
京町会（可燃火・金）,境港市,火 金,月1,火2 火4,水2,火
京町会（可燃月・木）,境港市,月 木,月1,火2 火4,水2,火
京和会（可燃火・金）,境港市,火 金,水4,金1 金3,水2,火
京和会（可燃月・木）,境港市,月 木,水4,金1 金3,水2,火
銀座会（可燃火・金）,境港市,火 金,水1,水2 水4,水3,火
銀座会（可燃月・木）,境港市,月 木,水1,水2 水4,水3,火
元町（可燃火・金）,境港市,火 金,月1,火2 火4,水3,火
元町（可燃月・木）,境港市,月 木,月1,火2 火4,水3,火
幸神町,境港市,火 金,月2,火1 火3,水4,木
高松町,境港市,月 木,水4,金1 金3,水1,金
佐斐神町（可燃火・金）,境港市,火 金,月2,火1 火3,,木
佐斐神町（可燃月・木）,境港市,月 木,月2,火1 火3,,木
財ノ木町（可燃火・金）,境港市,火 金,水2,水1 水3,水4,木
財ノ木町（可燃月・木）,境港市,月 木,水2,水1 水3,水4,木
三軒屋町,境港市,月 木,月2,火1 火3,水3,金
自衛隊,境港市,火 金,月2,火1 火3,,木
自衛隊内官舎,境港市,火 金,月2,火1 火3,水3,木
芝町,境港市,月 木,月2,火1 火3,水3,金
小篠津町（可燃火・金）,境港市,火 金,水2,水1 水3,水4,木
小篠津町（可燃月・木）,境港市,月 木,水2,水1 水3,水4,木
昭花会（可燃火・金）,境港市,火 金,月3,木2 木4,水3,火
昭花会（可燃月・木）,境港市,月 木,月3,木2 木4,水3,火
昭和町,境港市,火 金,月3,木2 木4,水3,
松ケ枝町（可燃火・金）,境港市,火 金,水1,水2 水4,水2,火
松ケ枝町（可燃月・木）,境港市,月 木,水1,水2 水4,水2,火
上道町１区（可燃火・金）,境港市,火 金,水3,金2 金4,水4,月
上道町１区（可燃月・木）,境港市,月 木,水3,金2 金4,水4,火
上道町２区（可燃火・金）,境港市,火 金,水3,金2 金4,水4,月
上道町２区（可燃月・木）,境港市,月 木,水3,金2 金4,水4,火
上道町３区（可燃火・金）,境港市,火 金,水3,金2 金4,水4,月
上道町３区（可燃月・木）,境港市,月 木,水3,金2 金4,水4,火
上道町４区（可燃火・金）,境港市,火 金,水3,金2 金4,水4,月
上道町４区（可燃月・木）,境港市,月 木,水3,金2 金4,水4,火
上道町５区（可燃火・金）,境港市,火 金,水3,金2 金4,水4,月
上道町５区（可燃月・木）,境港市,月 木,水3,金2 金4,水4,火
上道町６区（可燃火・金）,境港市,火 金,水3,金2 金4,水4,月
上道町６区（可燃月・木）,境港市,月 木,水3,金2 金4,水4,火
上道町７区（可燃火・金）,境港市,火 金,水3,金2 金4,水4,月
上道町７区（可燃月・木）,境港市,月 木,水3,金2 金4,水4,火
上道町８区（可燃火・金）,境港市,火 金,月3,木2 木4,水4,火
上道町８区（可燃月・木）,境港市,月 木,月3,木2 木4,水4,火
新屋町（可燃月・木）,境港市,月 木,月4,木1 木3,水4,木
新京町会（可燃火・金）,境港市,火 金,月1,火2 火4,水2,火
新京町会（可燃月・木）,境港市,月 木,月1,火2 火4,水2,火
新道会（可燃火・金）,境港市,火 金,水1,水2 水4,水3,火
新道会（可燃月・木）,境港市,月 木,水1,水2 水4,水3,火
森岡町（可燃火・金）,境港市,火 金,月2,火1 火3,水3,金
森岡町（可燃月・木）,境港市,月 木,月2,火1 火3,水3,金
親善会（可燃火・金）,境港市,火 金,水1,水2 水4,水3,火
親善会（可燃月・木）,境港市,月 木,水1,水2 水4,水3,火
清水町（可燃火・金）,境港市,火 金,水4,金1 金3,水2,月
清水町（可燃月・木）,境港市,月 木,水4,金1 金3,水2,金
西相生会（可燃火・金）,境港市,火 金,水1,水2 水4,水3,火
西相生会（可燃月・木）,境港市,月 木,水1,水2 水4,水3,火
西馬場崎町会（可燃火・金）,境港市,火 金,月1,火2 火4,水2,火
西馬場崎町会（可燃月・木）,境港市,月 木,月1,火2 火4,水2,火
西本町会（可燃火・金）,境港市,火 金,水1,水2 水4,水3,火
西本町会（可燃月・木）,境港市,月 木,水1,水2 水4,水3,火
誠道町,境港市,火 金,水1,水2 水4,水4,木
相生会（可燃火・金）,境港市,火 金,水1,水2 水4,水3,火
